5.816, 532
4.62, 594
5.616, 338
6.082, 478
4.982, 411
6.08, 727
5.744, 630
5.745, 552
5.208, 524
4.86, 360
5.196, 659
5.229, 504
4.948, 505
5.477, 466
5.144, 472
4.4, 436
4.326, 440
5.836, 469
4.552, 540
6.008, 568
4.714, 260
5.738, 428
6.017, 489
5.129, 454
5.697, 590
6.811, 668
4.964, 463
4.963, 443
5.206, 390
5.077, 514
4.278, 421
5.588, 535
4.717, 482
5.798, 575
5.065, 407
5.562, 444
5.406, 605
5.118, 421
5.54, 492
5.45, 518
4.807, 435
4.692, 499
5.626, 581
5.76, 543
5.135, 375
6.611, 577
5.516, 497
3.932, 506
6.168, 442
4.688, 446
