11.626, 1995
9.708, 1902
66.092, 1911
9.168, 1649
21.659, 1783
6.084, 1708
3.961, 1160
12.299, 2291
16.112, 907
5.292, 1296
46.056, 1458
7.758, 1480
22.148, 2378
8.989, 1698
7.218, 1625
3.816, 1355
18.049, 2057
6.289, 1570
13.348, 1398
8.221, 1799
10.454, 1786
7.115, 1208
18.874, 1452
14.98, 1477
5.416, 1766
8.155, 1449
11.998, 1373
12.994, 1818
12.293, 1193
14.905, 2258
9.326, 1960
9.972, 1282
19.024, 1564
9.224, 2060
6.059, 1506
12.368, 2127
8.225, 1557
28.089, 2038
38.104, 2263
7.034, 1805
19.785, 2316
5.689, 1301
65.921, 1642
26.627, 1713
5.695, 876
8.431, 1233
8.776, 1746
15.891, 1705
23.519, 2735
7.061, 2133
