8.778, 2272
6.823, 1741
5.796, 1920
5.888, 1684
6.024, 1783
5.998, 1708
3.894, 1160
6.198, 1895
7.548, 1806
3.816, 1294
5.556, 1600
5.913, 1505
9.284, 2381
6.741, 1700
6.11, 1625
3.761, 1355
6.466, 1936
6.196, 1570
3.89, 1398
7.824, 1797
8.1, 2577
8.16, 2288
10.089, 2649
6.071, 1862
4.932, 1766
9.941, 3028
6.481, 1761
5.89, 1886
4.268, 1207
4.694, 1322
6.263, 1850
6.04, 1671
8.487, 2443
8.287, 2060
5.486, 1506
7.106, 2108
5.743, 1558
6.746, 2038
6.914, 2263
7.392, 1752
6.457, 2316
3.701, 1180
5.133, 1642
5.39, 1770
4.559, 1336
9.603, 2991
6.665, 1490
6.116, 1986
7.394, 2359
6.985, 2792
